id,dt_tm,lang,retweet,name,body,lat,lon
1046765234453708800,Mon Oct 01 14:14:14 +0000 2018,en,1,arinelletiandra,RT @MKBHD: - $20M personal fine - $20M fine to Tesla - Elon resigns from chairman position for 3 years - Elon stays CEO  Imagine 1 tweet co…,,
1046765236324159488,Mon Oct 01 14:14:14 +0000 2018,en,0,DigitalRalph,New Tesla chairman will face the challenge of focusing Elon Musk https://t.co/D1v9FcJmN5 https://t.co/kxMjldlyP0,,
1046765242569682945,Mon Oct 01 14:14:16 +0000 2018,en,0,JasonPerz138,If Tesla is up.... buy a put. If Tesla is down buy a call. Always enter Tesla options with a straddle or strangle technique. #mytwocents,,
1046765247044964352,Mon Oct 01 14:14:17 +0000 2018,en,1,teslectrics1,RT @InsideEVs: We knew that center screen would be problematic. Now here's proof of it. The dialogue is epic too: You are not allowed to ha…,,
1046765247019634688,Mon Oct 01 14:14:17 +0000 2018,en,0,cahulaan,Tesla stock leaps after Elon Musk settles with SEC and remains chief executive: Tesla Inc. stock jumped more than 1… https://t.co/vSzKbzCFgq,,
1046765252128493568,Mon Oct 01 14:14:18 +0000 2018,en,1,JohnEG78,RT @InsideEVs: The stock surge is massive ahead of @Tesla’s official Q3 report. Here we present what multiple analysts think in regards to…,,
1046765252031860738,Mon Oct 01 14:14:18 +0000 2018,en,1,MisterOrimoloye,RT @Oise_A: Check am! https://t.co/zFvvdcJOaf,,
1046765256247308288,Mon Oct 01 14:14:19 +0000 2018,en,1,Spekoliunas,RT @Street_Insider: Tesla $TSLA PT Raised to $500 by Global Equities' Chowdhry; Says Either Instagram Founder Could Be an Ideal Chairman ht…,,
1046765262337454080,Mon Oct 01 14:14:21 +0000 2018,en,1,skynetazul,RT @teslainventory: I just helped @kimbal Musk take delivery of his new Model 3! So great to help here in Colorado! Been here 10 hours help…,,
1046765269329293314,Mon Oct 01 14:14:22 +0000 2018,en,0,TeslaCharts,Pumpity pump pump; pumpity pump pump  Where's Numora? I am disappointed we haven't seen the 'no longer not investab… https://t.co/x3jM9n9Amg,,
1046765268758908930,Mon Oct 01 14:14:22 +0000 2018,en,0,dradaugo,‘Start Here’: Kavanaugh; Tesla and Vegas. What you need to know to start your day. https://t.co/rnN7ytOO6n https://t.co/YOlkeNkghA,,
1046765270679924736,Mon Oct 01 14:14:23 +0000 2018,en,0,TyTides,Door go up ona Tesla,,
1046765277533417478,Mon Oct 01 14:14:24 +0000 2018,en,1,InsideEVs,RT @crijnbouman: Epic: new tech meets old world...cops pull over Tesla model 3 because of “computer mounted on dashboard” 😂 https://t.co/ce…,,
1046765286362296320,Mon Oct 01 14:14:26 +0000 2018,en,1,AkashMahata_,RT @MKBHD: - $20M personal fine - $20M fine to Tesla - Elon resigns from chairman position for 3 years - Elon stays CEO  Imagine 1 tweet co…,,
1046765290313437184,Mon Oct 01 14:14:27 +0000 2018,en,0,calirubyist,good morning car. I need to give u a name #Tesla #Model3 #TeslaModel3 @ Los Angeles; California https://t.co/1C9jA4tIRM,,
